seqname	dsDNAphage	NCLDV	RNA	ssDNA	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
S5C19373||full	0.653	0.620	0.085	0.707	0.693	0.707	ssDNA	4293	0	50.000	0.000
S5C19590||full	1.000	0.973	0.010	0.820	0.267	1.000	dsDNAphage	4640	3	77.800	0.000
S5C19606||full	0.873	0.633	0.160	0.887	0.373	0.887	ssDNA	7173	0	100.000	0.000
S5C19630||full	0.653	0.593	0.205	0.660	0.733	0.733	lavidaviridae	4599	0	33.300	0.000
S5C19773||full	1.000	0.267	0.000	0.073	0.080	1.000	dsDNAphage	50823	9	61.200	6.000
S5C19832||full	0.480	0.593	0.370	0.540	0.653	0.653	lavidaviridae	2083	0	0.000	0.000
S5C19907||full	0.880	0.980	0.140	0.747	0.987	0.987	lavidaviridae	3277	0	100.000	0.000
S5C19960||full	0.967	0.913	0.010	0.047	0.020	0.967	dsDNAphage	18677	0	27.300	3.000
S5C20051||full	0.913	NaN	0.390	0.927	0.993	0.993	lavidaviridae	2101	0	50.000	0.000
S5C20144||full	1.000	0.960	0.270	0.967	0.993	1.000	dsDNAphage	4002	1	100.000	0.000
S5C20151||full	0.993	0.847	0.140	0.967	0.967	0.993	dsDNAphage	2134	0	60.000	0.000
S5C20160||full	0.987	0.967	0.100	1.000	0.920	1.000	ssDNA	2309	0	100.000	0.000
S5C20193||full	0.993	1.000	0.170	0.940	0.993	1.000	NCLDV	3049	0	100.000	0.000
S5C20221||full	0.587	0.513	0.805	0.980	0.967	0.980	ssDNA	2253	0	50.000	0.000
S5C20284||full	0.920	0.093	0.005	0.040	0.320	0.920	dsDNAphage	6624	1	50.000	25.000
S5C20681||full	0.887	0.867	0.230	1.000	0.307	1.000	ssDNA	1999	0	60.000	0.000
S5C20698||full	0.313	0.973	0.190	0.067	0.627	0.973	NCLDV	2889	0	25.000	0.000
S5C20896||full	0.940	0.853	0.160	0.873	0.247	0.940	dsDNAphage	2187	0	85.700	0.000
S5C20979||full	0.260	0.720	0.195	0.133	0.247	0.720	NCLDV	2648	0	33.300	0.000
S5C21303||full	0.460	0.093	0.125	0.247	0.693	0.693	lavidaviridae	2877	0	50.000	0.000
S5C21616||full	0.140	0.900	0.110	0.027	0.560	0.900	NCLDV	3736	0	25.000	0.000
S5C21691||full	1.000	0.500	0.190	0.740	0.980	1.000	dsDNAphage	18475	2	72.200	0.000
S5C21878||full	0.680	0.653	0.590	0.960	0.867	0.960	ssDNA	2592	0	50.000	0.000
S5C22016||full	0.807	0.780	0.350	0.767	0.913	0.913	lavidaviridae	6870	0	100.000	0.000
S5C22462||full	0.807	0.687	0.045	0.500	0.473	0.807	dsDNAphage	4290	0	40.000	0.000
S5C22467||full	0.153	0.827	0.100	0.007	0.347	0.827	NCLDV	4789	0	20.000	0.000
S5C22598||full	0.807	0.947	0.360	0.800	0.833	0.947	NCLDV	4166	0	16.700	0.000
S5C22680||full	0.867	0.873	0.225	0.853	0.653	0.873	NCLDV	2685	0	100.000	0.000
S5C22697||full	0.887	0.847	0.290	0.787	1.000	1.000	lavidaviridae	7755	0	40.000	0.000
S5C22704||full	0.153	0.527	0.325	0.213	0.873	0.873	lavidaviridae	3674	0	50.000	0.000
S5C22802||full	0.567	0.340	0.045	0.107	0.033	0.567	dsDNAphage	1857	0	33.300	16.700
S5C22852||full	0.700	0.433	0.070	0.060	0.373	0.700	dsDNAphage	9053	0	30.000	0.000
S5C22866||full	0.953	0.560	0.270	0.980	0.887	0.980	ssDNA	777	0	100.000	0.000
S5C23038||full	1.000	0.767	0.295	0.940	0.993	1.000	dsDNAphage	2056	1	100.000	0.000
S5C23084||full	0.840	NaN	0.195	0.660	0.780	0.840	dsDNAphage	2182	0	100.000	0.000
S5C23102||full	0.987	0.940	0.185	0.600	0.960	0.987	dsDNAphage	30957	0	95.500	0.000
S5C23115||full	0.120	0.607	0.175	0.007	0.080	0.607	NCLDV	3901	0	0.000	0.000
S5C23134||full	0.787	0.973	0.195	0.673	0.967	0.973	NCLDV	2949	0	100.000	0.000
S5C23144||full	0.080	0.100	0.835	0.207	0.240	0.835	RNA	2385	0	0.000	0.000
S5C23149||full	0.167	0.513	0.000	0.007	0.093	0.513	NCLDV	5309	0	11.100	22.200
S5C23289||full	1.000	0.260	0.000	0.007	0.027	1.000	dsDNAphage	41665	1	25.900	3.400
S5C23328||full	0.973	0.993	0.255	0.953	0.987	0.993	NCLDV	3217	0	100.000	0.000
S5C23485||full	1.000	0.767	0.265	0.860	0.913	1.000	dsDNAphage	5312	1	100.000	0.000
S5C23547||full	0.993	0.953	0.135	0.847	0.953	0.993	dsDNAphage	4537	0	100.000	0.000
S5C23569||full	1.000	0.767	0.205	0.987	0.513	1.000	dsDNAphage	4231	5	100.000	0.000
S5C23593||full	0.980	0.900	0.070	0.387	0.167	0.980	dsDNAphage	25620	0	16.900	0.000
S5C23641||full	0.880	0.647	0.285	0.993	0.967	0.993	ssDNA	2978	0	60.000	0.000
S5C23758||full	0.900	0.280	0.585	1.000	0.847	1.000	ssDNA	850	0	50.000	0.000
S5C23774||full	0.393	0.613	0.220	0.027	0.093	0.613	NCLDV	5154	0	14.300	0.000
S5C23897||full	0.987	0.880	0.165	0.880	0.847	0.987	dsDNAphage	3961	1	55.600	0.000
S5C24080||full	0.967	0.673	0.190	0.873	0.920	0.967	dsDNAphage	3817	0	66.700	0.000
S5C24262||full	0.880	0.847	0.685	0.727	0.933	0.933	lavidaviridae	3746	0	20.000	0.000
S5C24413||full	0.993	0.813	0.390	0.433	0.933	0.993	dsDNAphage	25167	2	41.900	0.000
S5C24472||full	0.933	0.287	0.470	0.993	0.953	0.993	ssDNA	1972	0	100.000	0.000
S5C24824||full	1.000	0.913	0.140	0.800	0.873	1.000	dsDNAphage	2132	0	87.500	0.000
S5C24891||full	0.567	0.213	0.165	0.353	0.720	0.720	lavidaviridae	3100	0	66.700	0.000
S5C25029||full	0.787	0.353	0.260	0.640	0.687	0.787	dsDNAphage	5228	0	25.000	0.000
S5C25372||full	0.967	0.087	0.405	0.260	0.407	0.967	dsDNAphage	4094	0	9.100	0.000
S5C25631||full	0.927	0.587	0.535	0.780	0.773	0.927	dsDNAphage	2275	0	20.000	0.000
S5C25652||full	0.167	0.560	0.015	0.000	0.013	0.560	NCLDV	4372	0	0.000	12.500
S5C25912||full	0.927	0.987	0.250	1.000	0.940	1.000	ssDNA	1825	0	100.000	0.000
S5C26061||full	0.907	0.953	0.200	1.000	1.000	1.000	ssDNA	2407	0	100.000	0.000
S5C26088||full	0.040	0.507	0.120	0.000	0.073	0.507	NCLDV	3207	0	0.000	0.000
S5C26117||full	1.000	0.160	0.250	1.000	0.587	1.000	dsDNAphage	2512	1	100.000	0.000
S5C26128||full	0.987	0.840	0.095	0.813	0.820	0.987	dsDNAphage	2203	0	100.000	0.000
S5C26182||full	0.967	0.700	0.200	0.907	0.960	0.967	dsDNAphage	2945	0	27.300	0.000
S5C26350||full	0.193	0.567	0.730	0.307	0.413	0.730	RNA	3580	0	0.000	0.000
S5C26390||full	0.933	0.853	0.215	0.800	0.907	0.933	dsDNAphage	5176	0	17.600	0.000
S5C26398||full	0.907	0.813	0.250	0.753	1.000	1.000	lavidaviridae	2442	0	100.000	0.000
S5C26490||full	0.420	0.507	0.375	0.160	0.153	0.507	NCLDV	2942	0	33.300	0.000
S5C26577||full	0.893	0.213	0.435	0.267	0.200	0.893	dsDNAphage	1964	0	40.000	0.000
S5C26788||full	0.453	0.953	0.180	0.773	0.940	0.953	NCLDV	2163	0	66.700	0.000
S5C26862||full	1.000	0.947	0.245	1.000	0.980	1.000	dsDNAphage	3452	1	100.000	0.000
S5C26959||full	0.807	0.993	0.225	0.893	0.993	0.993	NCLDV	2186	0	100.000	0.000
S5C27024||full	0.967	0.853	0.335	0.853	0.960	0.967	dsDNAphage	1902	0	40.000	0.000
S5C27127||full	1.000	0.727	0.125	0.473	0.647	1.000	dsDNAphage	9972	2	65.400	0.000
S5C27201||full	0.307	0.580	0.225	0.067	0.360	0.580	NCLDV	2803	0	25.000	0.000
S5C27226||full	0.067	0.587	0.035	0.020	0.040	0.587	NCLDV	3048	0	33.300	0.000
S5C27460||full	0.260	0.573	0.240	0.073	0.380	0.573	NCLDV	2688	0	33.300	0.000
S5C27555||full	0.660	0.760	0.340	0.927	0.893	0.927	ssDNA	2494	0	66.700	0.000
S5C27593||full	0.973	0.847	0.145	0.973	0.873	0.973	dsDNAphage	3355	0	100.000	0.000
S5C27734||full	0.300	0.673	0.405	0.033	0.720	0.720	lavidaviridae	5429	0	33.300	0.000
S5C27791||full	0.207	0.847	0.005	0.027	0.053	0.847	NCLDV	2045	0	33.300	0.000
S5C27813||full	0.800	0.627	0.280	0.840	0.480	0.840	ssDNA	2262	0	75.000	0.000
S5C28005||full	0.620	0.553	0.305	0.980	0.947	0.980	ssDNA	2577	0	66.700	0.000
S5C28022||full	0.927	0.740	0.655	0.040	0.693	0.927	dsDNAphage	5769	1	25.000	0.000
S5C28377||full	0.840	0.487	0.290	0.740	0.627	0.840	dsDNAphage	2943	0	37.500	0.000
S5C28509||full	0.280	0.527	0.885	0.440	0.553	0.885	RNA	2256	0	0.000	0.000
S5C28701||full	0.873	0.767	0.130	0.953	0.920	0.953	ssDNA	2107	0	75.000	0.000
S5C28729||full	1.000	0.980	0.250	0.653	0.933	1.000	dsDNAphage	11330	1	100.000	0.000
S5C28904||full	0.940	0.807	0.120	0.840	0.987	0.987	lavidaviridae	8184	0	66.700	0.000
S5C29023||full	0.967	0.693	0.160	0.800	0.880	0.967	dsDNAphage	2072	0	85.700	0.000
S5C29061||full	0.840	0.287	0.195	0.880	0.747	0.880	ssDNA	3822	0	75.000	0.000
S5C29102||full	0.180	0.647	0.010	0.000	0.320	0.647	NCLDV	4136	0	20.000	20.000
S5C29283||full	0.727	0.633	0.360	0.980	1.000	1.000	lavidaviridae	3176	0	66.700	0.000
S5C29451||full	0.793	0.253	0.115	0.933	0.180	0.933	ssDNA	2417	0	20.000	0.000
S5C29583||full	0.980	0.920	0.320	0.960	0.687	0.980	dsDNAphage	3734	0	71.400	0.000
S5C29663||full	0.327	0.860	0.770	0.100	0.527	0.860	NCLDV	3015	0	0.000	0.000
S5C29676||full	0.993	0.347	0.045	0.560	0.347	0.993	dsDNAphage	10924	1	60.000	0.000
S5C29873||full	0.747	0.600	0.225	0.827	0.793	0.827	ssDNA	2382	0	50.000	0.000
S5C29923||full	0.607	0.113	0.110	0.133	0.427	0.607	dsDNAphage	2959	0	14.300	14.300
S5C29928||full	0.973	0.540	0.140	0.853	0.860	0.973	dsDNAphage	2326	0	100.000	0.000
S5C29951||full	0.967	0.767	0.170	0.780	0.953	0.967	dsDNAphage	3615	0	100.000	0.000
S5C29979||full	0.973	0.733	0.200	1.000	0.920	1.000	ssDNA	1844	0	100.000	0.000
S5C30089||full	0.947	0.840	0.175	0.747	0.900	0.947	dsDNAphage	2613	0	100.000	0.000
S5C30111||full	0.540	0.720	0.275	0.700	0.913	0.913	lavidaviridae	3239	0	60.000	0.000
S5C30129||full	0.147	0.727	0.020	0.027	0.040	0.727	NCLDV	2271	0	33.300	0.000
S5C30144||full	1.000	0.347	0.220	0.967	0.300	1.000	dsDNAphage	4718	3	100.000	0.000
S5C30403||full	0.920	0.920	0.220	0.993	0.933	0.993	ssDNA	1042	0	100.000	0.000
S5C30571||full	0.967	0.947	0.225	1.000	0.900	1.000	ssDNA	2321	0	100.000	0.000
S5C30589||full	0.780	1.000	0.120	0.780	0.953	1.000	NCLDV	4856	0	77.800	0.000
S5C30592||full	0.833	0.607	0.095	0.820	0.680	0.833	dsDNAphage	3232	0	33.300	0.000
S5C30647||full	0.747	0.573	0.240	0.313	0.520	0.747	dsDNAphage	9593	0	44.400	0.000
S5C30790||full	0.853	0.787	0.070	0.633	0.920	0.920	lavidaviridae	8238	0	90.000	0.000
S5C31338||full	1.000	0.773	0.200	0.720	0.953	1.000	dsDNAphage	11011	3	90.900	0.000
S5C31376||full	0.433	0.820	0.645	0.967	0.933	0.967	ssDNA	1497	0	50.000	0.000
S5C31546||full	0.960	0.773	0.175	0.893	0.920	0.960	dsDNAphage	7236	0	80.000	0.000
S5C31616||full	0.987	0.707	0.275	0.833	0.667	0.987	dsDNAphage	2178	1	80.000	0.000
S5C31689||full	0.067	0.593	0.000	0.027	0.093	0.593	NCLDV	2842	0	25.000	25.000
S5C31690||full	0.960	0.373	0.155	0.887	0.587	0.960	dsDNAphage	3408	0	100.000	0.000
S5C31700||full	0.993	0.173	0.145	0.460	0.347	0.993	dsDNAphage	32108	13	97.400	0.000
S5C31873||full	0.447	0.173	0.435	0.733	0.447	0.733	ssDNA	2770	0	20.000	0.000
S5C31917||full	1.000	0.900	0.190	0.987	0.980	1.000	dsDNAphage	2351	2	100.000	0.000
S5C31931||full	0.873	0.907	0.220	0.940	0.993	0.993	lavidaviridae	3156	0	75.000	0.000
S5C32077||full	0.927	0.720	0.140	0.867	0.927	0.927	dsDNAphage	4425	0	71.400	0.000
S5C32124||full	0.727	0.553	0.470	0.980	0.980	0.980	ssDNA	1825	0	50.000	0.000
S5C32313||full	0.680	0.733	0.310	0.940	0.953	0.953	lavidaviridae	3653	0	100.000	0.000
S5C32485||full	0.400	0.687	0.455	0.927	0.987	0.987	lavidaviridae	2354	0	50.000	0.000
S5C32540||full	0.340	0.527	0.190	0.127	0.400	0.527	NCLDV	2689	0	33.300	0.000
S5C32554||full	1.000	0.920	0.250	0.913	0.220	1.000	dsDNAphage	3831	1	42.900	0.000
S5C32668||full	1.000	0.227	0.155	0.627	0.253	1.000	dsDNAphage	4069	2	87.500	0.000
S5C32691||full	0.780	0.967	0.180	0.673	0.980	0.980	lavidaviridae	2149	0	100.000	0.000
S5C32711||full	0.947	0.700	0.345	1.000	0.973	1.000	ssDNA	3258	0	100.000	0.000
S5C32889||full	0.627	0.833	0.055	0.420	0.387	0.833	NCLDV	4307	0	50.000	0.000
S5C32999||full	0.847	0.953	0.155	0.827	1.000	1.000	lavidaviridae	2113	0	75.000	0.000
S5C33149||full	0.873	0.820	0.120	0.807	0.973	0.973	lavidaviridae	5321	0	100.000	0.000
S5C33420||full	0.980	0.653	0.115	0.920	0.833	0.980	dsDNAphage	3859	0	77.800	0.000
S5C33439||full	0.887	0.540	0.010	0.033	0.280	0.887	dsDNAphage	3466	1	50.000	16.700
S5C33483||full	0.980	0.467	0.335	0.733	0.893	0.980	dsDNAphage	3244	1	60.000	0.000
S5C33568||full	1.000	0.660	0.040	0.313	0.787	1.000	dsDNAphage	58689	4	70.800	0.000
S5C33627||full	0.880	0.440	0.305	0.707	0.940	0.940	lavidaviridae	7580	0	100.000	0.000
S5C33697||full	1.000	0.773	0.140	0.887	0.967	1.000	dsDNAphage	2513	1	100.000	0.000
S5C33743||full	1.000	0.173	0.105	0.160	0.120	1.000	dsDNAphage	20313	11	60.000	0.000
S5C33766||full	0.267	0.947	0.185	0.013	0.447	0.947	NCLDV	3432	0	20.000	0.000
S5C33771||full	0.873	0.947	0.190	0.873	1.000	1.000	lavidaviridae	2807	0	100.000	0.000
S5C33925||full	0.873	0.520	0.815	0.987	0.733	0.987	ssDNA	2100	0	25.000	0.000
S5C34121||full	0.740	0.547	0.195	0.953	0.793	0.953	ssDNA	2280	0	66.700	0.000
S5C34178||full	0.993	0.487	0.050	0.453	0.713	0.993	dsDNAphage	29752	8	75.400	0.000
S5C34287||full	0.700	0.740	0.630	0.907	0.920	0.920	lavidaviridae	2874	0	25.000	0.000
S5C34494||full	0.680	0.547	0.020	0.453	0.287	0.680	dsDNAphage	6044	0	50.000	0.000
S5C34536||full	0.687	0.313	0.295	0.807	0.687	0.807	ssDNA	3289	0	40.000	0.000
S5C34571||full	0.900	0.593	0.680	1.000	0.407	1.000	ssDNA	2683	0	40.000	0.000
S5C34616||full	0.980	NaN	0.135	0.973	0.273	0.980	dsDNAphage	724	0	100.000	0.000
S5C34805||full	0.987	0.720	0.140	0.980	0.900	0.987	dsDNAphage	3588	0	71.400	0.000
S5C34810||full	0.880	0.453	0.315	0.940	0.933	0.940	ssDNA	3636	0	57.100	0.000
S5C34816||full	0.273	0.600	0.130	0.080	0.373	0.600	NCLDV	1917	0	50.000	0.000
S5C34824||full	0.713	0.960	0.085	0.993	0.940	0.993	ssDNA	2049	0	100.000	0.000
S5C34981||full	1.000	0.767	0.210	0.907	0.500	1.000	dsDNAphage	8004	5	100.000	0.000
S5C35190||full	1.000	0.260	0.230	0.873	0.560	1.000	dsDNAphage	1516	1	100.000	0.000
S5C35367||full	0.320	0.827	0.195	0.147	0.360	0.827	NCLDV	5054	0	25.000	0.000
S5C35381||full	0.973	0.953	0.150	0.853	0.907	0.973	dsDNAphage	2147	0	100.000	0.000
S5C35491||full	1.000	0.420	0.090	0.227	0.167	1.000	dsDNAphage	6179	4	91.700	0.000
S5C35571||full	0.900	0.907	0.615	0.887	0.887	0.907	NCLDV	1977	0	33.300	0.000
S5C35674||full	0.713	0.453	0.265	0.900	0.973	0.973	lavidaviridae	2012	0	66.700	0.000
S5C35728||full	0.607	0.660	0.200	0.393	0.580	0.660	NCLDV	4980	0	60.000	0.000
S5C35801||full	0.147	0.560	0.010	0.020	0.067	0.560	NCLDV	5580	0	40.000	20.000
S5C35892||full	1.000	0.240	0.320	0.800	0.353	1.000	dsDNAphage	3445	2	75.000	0.000
S5C35983||full	0.553	0.640	0.620	0.853	0.487	0.853	ssDNA	2219	0	33.300	0.000
S5C36044||full	0.053	0.373	0.660	0.220	0.540	0.660	RNA	3321	0	0.000	0.000
S5C36094||full	0.987	0.507	0.325	0.460	0.587	0.987	dsDNAphage	6017	1	42.900	0.000
S5C36100||full	0.853	0.487	0.070	0.753	0.880	0.880	lavidaviridae	2696	0	66.700	0.000
S5C36159||full	1.000	0.167	0.220	0.720	0.660	1.000	dsDNAphage	6343	4	75.000	0.000
S5C36212||full	1.000	0.900	0.140	0.633	0.960	1.000	dsDNAphage	97353	2	64.800	0.000
S5C36275||full	0.707	0.800	0.210	0.627	0.853	0.853	lavidaviridae	2725	0	100.000	0.000
S5C36419||full	0.133	0.287	0.880	0.027	0.593	0.880	RNA	2460	0	0.000	0.000
S5C36678||full	0.980	0.960	0.285	0.780	0.993	0.993	lavidaviridae	8227	0	80.000	0.000
S5C36741||full	0.087	0.453	0.070	0.007	0.540	0.540	lavidaviridae	6671	0	16.700	0.000
S5C36808||full	0.527	NaN	0.535	0.760	0.367	0.760	ssDNA	2314	0	33.300	0.000
S5C36814||full	0.020	0.487	0.710	0.007	0.153	0.710	RNA	3422	0	0.000	0.000
S5C36895||full	0.993	0.847	0.075	0.833	0.873	0.993	dsDNAphage	2290	0	87.500	0.000
S5C36961||full	0.980	0.973	0.250	0.813	0.993	0.993	lavidaviridae	3866	0	100.000	0.000
S5C37017||full	1.000	NaN	0.225	0.947	0.400	1.000	dsDNAphage	2159	2	80.000	0.000
S5C37601||full	0.880	0.427	0.355	1.000	0.947	1.000	ssDNA	2159	0	100.000	0.000
S5C37751||full	0.727	0.673	0.280	0.793	0.827	0.827	lavidaviridae	2932	0	33.300	0.000
S5C37906||full	0.913	0.540	0.050	0.740	0.980	0.980	lavidaviridae	6477	0	85.700	0.000
S5C38024||full	0.733	0.647	0.250	1.000	0.833	1.000	ssDNA	1342	0	100.000	0.000
S5C38069||full	0.313	0.520	0.180	0.093	0.473	0.520	NCLDV	3763	0	50.000	0.000
S5C38200||full	1.000	0.853	0.280	0.467	0.880	1.000	dsDNAphage	56525	2	80.000	0.000
S5C38228||full	0.453	0.900	0.630	0.927	0.967	0.967	lavidaviridae	2228	0	33.300	0.000
S5C38267||full	0.920	0.567	0.400	0.987	0.760	0.987	ssDNA	2008	0	100.000	0.000
S5C38479||full	0.967	0.820	0.225	0.927	0.993	0.993	lavidaviridae	2846	0	42.900	0.000
S5C38544||full	0.867	0.680	0.320	0.987	0.867	0.987	ssDNA	3051	0	100.000	0.000
S5C38550||full	0.980	0.340	0.770	0.533	0.893	0.980	dsDNAphage	2654	1	25.000	0.000
S7C63||full	0.840	0.473	0.820	0.520	0.987	0.987	lavidaviridae	4429	0	20.000	0.000
S7C134||full	0.140	0.193	0.990	0.553	0.553	0.990	RNA	2177	0	0.000	0.000
S7C284||full	0.960	0.587	0.445	0.913	0.873	0.960	dsDNAphage	2069	0	40.000	0.000
S7C361||full	0.013	0.607	0.580	0.013	0.147	0.607	NCLDV	2174	0	0.000	0.000
S7C370||full	0.940	0.240	0.215	0.607	0.387	0.940	dsDNAphage	4044	0	80.000	0.000
S7C511||full	0.387	0.967	0.145	0.060	0.887	0.967	NCLDV	4207	0	40.000	0.000
S7C573||full	1.000	0.727	0.155	0.487	0.620	1.000	dsDNAphage	9835	2	68.000	0.000
S7C629||full	0.967	0.580	0.135	0.767	0.867	0.967	dsDNAphage	2300	0	100.000	0.000
S7C699||full	0.873	1.000	0.235	0.807	0.993	1.000	NCLDV	2019	0	100.000	0.000
S7C976||full	0.880	0.853	0.285	0.913	0.980	0.980	lavidaviridae	2701	0	33.300	0.000
S7C1089||full	0.927	0.967	0.135	0.753	0.893	0.967	NCLDV	3009	0	100.000	0.000
S7C1143||full	0.720	0.433	0.860	0.647	0.773	0.860	RNA	2568	0	25.000	0.000
S7C1194||full	1.000	0.967	0.140	0.960	0.773	1.000	dsDNAphage	2433	3	83.300	0.000
S7C1400||full	1.000	0.740	0.175	0.893	0.960	1.000	dsDNAphage	35219	3	100.000	0.000
S7C1456||full	0.233	0.647	0.185	0.080	0.627	0.647	NCLDV	2401	0	33.300	0.000
S7C1492||full	0.787	0.420	0.395	0.653	0.280	0.787	dsDNAphage	4781	0	50.000	0.000
S7C1550||full	0.980	0.260	0.370	0.920	0.820	0.980	dsDNAphage	4307	3	100.000	0.000
S7C1604||full	1.000	0.287	0.105	0.280	0.300	1.000	dsDNAphage	14735	5	60.000	0.000
S7C1671||full	0.987	0.253	0.560	0.980	0.953	0.987	dsDNAphage	5418	4	55.600	0.000
S7C1805||full	0.660	0.387	0.995	0.873	0.920	0.995	RNA	2551	0	0.000	0.000
S7C1823||full	1.000	0.980	0.260	0.900	0.993	1.000	dsDNAphage	3642	1	100.000	0.000
S7C1844||full	0.047	0.753	0.000	0.000	0.067	0.753	NCLDV	8811	0	11.100	11.100
S7C1903||full	0.427	0.700	0.075	0.173	0.400	0.700	NCLDV	6466	0	66.700	0.000
S7C1957||full	0.267	0.633	0.885	0.553	0.907	0.907	lavidaviridae	2981	0	0.000	0.000
S7C2062||full	0.987	0.647	0.170	0.960	0.920	0.987	dsDNAphage	2338	1	66.700	0.000
S7C2067||full	0.987	0.580	0.215	0.760	0.827	0.987	dsDNAphage	5927	4	58.300	0.000
S7C2102||full	0.953	0.953	0.165	0.800	0.960	0.960	lavidaviridae	2310	0	100.000	0.000
S7C2280||full	0.347	0.573	0.015	0.027	0.220	0.573	NCLDV	2199	0	20.000	20.000
S7C2370||full	0.240	NaN	0.820	0.007	0.520	0.820	RNA	4069	0	0.000	0.000
S7C2416||full	0.993	0.753	0.205	0.520	0.900	0.993	dsDNAphage	13142	4	68.400	0.000
S7C2432||full	0.987	0.440	0.445	0.907	0.487	0.987	dsDNAphage	2530	2	100.000	0.000
S7C2460||full	0.993	0.280	0.000	0.033	0.120	0.993	dsDNAphage	21719	4	58.600	3.400
S7C2513||full	0.080	0.913	0.005	0.000	0.167	0.913	NCLDV	7752	0	25.000	12.500
S7C2687||full	0.987	0.653	0.265	0.947	0.947	0.987	dsDNAphage	3501	0	77.800	0.000
S7C2694||full	0.947	0.553	0.240	0.787	0.900	0.947	dsDNAphage	5356	0	100.000	0.000
S7C2800||full	0.947	1.000	0.085	0.653	0.727	1.000	NCLDV	2856	0	100.000	0.000
S7C2826||full	0.080	0.693	0.000	0.000	0.093	0.693	NCLDV	6287	0	20.000	40.000
S7C3048||full	0.987	0.493	0.125	0.800	0.700	0.987	dsDNAphage	6351	1	100.000	0.000
S7C3059||full	1.000	0.533	0.180	0.840	0.253	1.000	dsDNAphage	2730	1	62.500	0.000
S7C3137||full	0.727	0.820	0.335	0.973	0.133	0.973	ssDNA	1847	0	33.300	0.000
S7C3246||full	0.753	0.313	0.195	0.793	0.807	0.807	lavidaviridae	3941	0	80.000	0.000
S7C3479||full	0.987	0.153	0.190	0.980	0.247	0.987	dsDNAphage	2549	1	75.000	0.000
S7C3553||full	1.000	0.673	0.205	0.520	0.907	1.000	dsDNAphage	12470	1	83.300	0.000
S7C3621||full	0.867	0.747	0.190	0.380	0.873	0.873	lavidaviridae	23101	0	95.700	0.000
S7C3622||full	0.173	0.567	0.010	0.000	0.053	0.567	NCLDV	4249	0	25.000	25.000
S7C3699||full	0.927	0.727	0.220	0.907	0.720	0.927	dsDNAphage	3260	0	100.000	0.000
S7C3715||full	0.980	0.573	0.205	0.820	0.647	0.980	dsDNAphage	3059	3	87.500	0.000
S7C3743||full	0.340	0.633	0.275	0.047	0.360	0.633	NCLDV	3728	0	25.000	0.000
S7C3885||full	0.933	0.193	0.475	0.873	0.820	0.933	dsDNAphage	2814	1	50.000	0.000
S7C3989||full	0.973	0.480	0.175	0.880	0.780	0.973	dsDNAphage	2088	1	75.000	0.000
S7C4169||full	0.993	0.547	0.155	0.467	0.787	0.993	dsDNAphage	8238	0	94.400	0.000
S7C4174||full	0.987	0.980	0.100	0.800	0.913	0.987	dsDNAphage	6734	0	92.300	0.000
S7C4195||full	0.960	0.320	0.055	0.593	0.200	0.960	dsDNAphage	5424	0	40.000	0.000
S7C4251||full	0.927	0.673	0.525	0.893	0.700	0.927	dsDNAphage	3021	1	42.900	0.000
S7C4435||full	0.027	0.873	0.005	0.000	0.027	0.873	NCLDV	3381	0	0.000	20.000
S7C4515||full	0.947	0.813	0.175	0.227	0.167	0.947	dsDNAphage	5408	0	54.500	0.000
S7C4611||full	0.940	0.820	0.000	0.040	0.340	0.940	dsDNAphage	17554	0	60.600	6.100
S7C4663||full	0.233	0.673	0.935	0.020	0.673	0.935	RNA	4316	0	0.000	0.000
S7C4703||full	0.987	0.907	0.260	0.753	0.993	0.993	lavidaviridae	6899	0	100.000	0.000
S7C4707||full	0.993	0.940	0.135	0.613	0.773	0.993	dsDNAphage	8203	3	92.300	0.000
S7C4738||full	0.900	0.993	0.220	0.973	0.987	0.993	NCLDV	2464	0	100.000	0.000
S7C4823||full	0.620	0.440	0.015	0.047	0.167	0.620	dsDNAphage	2188	1	25.000	50.000
S7C4838||full	0.380	0.400	0.935	0.027	0.487	0.935	RNA	2284	0	0.000	0.000
S7C4922||full	0.627	0.733	0.005	0.000	0.013	0.733	NCLDV	62361	0	28.800	6.200
S7C4960||full	0.760	0.593	0.335	0.887	0.907	0.907	lavidaviridae	3405	0	66.700	0.000
S7C5015||full	0.947	0.933	0.120	0.600	0.867	0.947	dsDNAphage	3852	0	100.000	0.000
S7C5152||full	1.000	0.740	0.155	0.933	0.920	1.000	dsDNAphage	4329	1	83.300	0.000
S7C5176||full	0.933	0.933	0.135	0.947	0.940	0.947	ssDNA	2489	0	83.300	0.000
S7C5182||full	0.993	0.767	0.350	1.000	0.227	1.000	ssDNA	2456	0	66.700	0.000
S7C5236||full	0.193	0.580	0.005	0.007	0.027	0.580	NCLDV	2054	0	0.000	33.300
S7C5238||full	0.447	0.207	0.995	0.633	0.680	0.995	RNA	2740	0	0.000	0.000
S7C5256||full	0.107	0.747	0.320	0.007	0.240	0.747	NCLDV	8278	0	0.000	0.000
S7C5357||full	0.300	0.733	0.000	0.013	0.127	0.733	NCLDV	3771	0	40.000	20.000
S7C5831||full	0.440	0.813	0.095	0.093	0.773	0.813	NCLDV	3729	0	33.300	0.000
