name	prediction	score
S7C5946	Phage	0.94
S7C6077	Phage	0.66
S7C6078	Phage	0.94
S7C6107	Phage	0.73
S7C6133	Phage	0.93
S7C6161	Phage	0.56
S7C6201	Bacteria	0.45
S7C6204	Bacteria	0.47
S7C6210	Phage	0.82
S7C6221	Bacteria	0.42
S7C6252	Bacteria	0.45
S7C6274	Bacteria	0.27
S7C6354	Phage	0.82
S7C6384	Bacteria	0.33
S7C6454	Bacteria	0.44
S7C6465	Bacteria	0.45
S7C6522	Phage	0.72
S7C6555	Bacteria	0.3
S7C6598	Bacteria	0.49
S7C6621	Bacteria	0.48
S7C6634	Phage	0.69
S7C6660	Phage	0.7
S7C6687	Bacteria	0.41
S7C6696	Phage	0.75
S7C6713	Phage	0.58
S7C6733	Phage	0.77
S7C6759	Bacteria	0.34
S7C6780	Bacteria	0.4
S7C6785	Phage	0.62
S7C6812	Bacteria	0.4
S7C6840	Phage	0.64
S7C6857	Phage	0.59
S7C6881	Phage	0.53
S7C6897	Phage	0.54
S7C6942	Bacteria	0.39
S7C6954	Bacteria	0.42
S7C6963	Phage	0.86
S7C6978	Phage	0.99
S7C7004	Phage	0.58
S7C7025	Phage	0.5
S7C7118	Phage	0.75
S7C7170	Phage	0.86
S7C7179	Phage	0.96
S7C7185	Phage	0.61
S7C7203	Bacteria	0.38
S7C7210	Phage	0.58
S7C7251	Phage	0.52
S7C7259	Phage	0.98
S7C7356	Phage	0.69
S7C7357	Phage	0.68
S7C7369	Bacteria	0.37
S7C7391	Bacteria	0.48
S7C7408	Phage	0.7
S7C7413	Phage	0.96
S7C7466	Phage	0.73
S7C7544	Bacteria	0.36
S7C7580	Bacteria	0.44
S7C7678	Bacteria	0.47
S7C7704	Phage	0.76
S7C7722	Phage	0.56
S7C7773	Phage	0.59
S7C7823	Phage	0.9
S7C7824	Phage	0.54
S7C7834	Phage	0.68
S7C7848	Bacteria	0.47
S7C7854	Phage	0.57
S7C7920	Phage	0.63
S7C7937	Phage	0.54
S7C7944	Bacteria	0.39
S7C7949	Phage	0.63
S7C7969	Bacteria	0.2
S7C8014	Phage	0.96
S7C8038	Bacteria	0.49
S7C8079	Phage	0.68
S7C8081	Bacteria	0.45
S7C8104	Bacteria	0.45
S7C8117	Phage	0.58
S7C8160	Bacteria	0.43
S7C8194	Phage	0.55
S7C8236	Bacteria	0.44
S7C8260	Phage	0.67
S7C8262	Phage	0.84
S7C8297	Phage	0.51
S7C8317	Phage	0.52
S7C8388	Phage	0.53
S7C8396	Phage	0.92
S7C8399	Bacteria	0.42
S7C8410	Bacteria	0.38
S7C8441	Phage	0.57
S7C8458	Phage	0.6
S7C8464	Bacteria	0.34
S7C8487	Phage	0.54
S7C8489	Bacteria	0.44
S7C8520	Bacteria	0.32
S7C8622	Bacteria	0.1
S7C8647	Phage	0.51
S7C8659	Bacteria	0.27
S7C8663	Phage	0.54
S7C8665	Phage	0.97
S7C8696	Bacteria	0.41
S7C8731	Phage	0.62
S7C8786	Phage	0.96
S7C8810	Phage	0.65
S7C8816	Phage	0.85
S7C8827	Bacteria	0.48
S7C8856	Phage	0.99
S7C8910	Phage	0.95
S7C8912	Bacteria	0.28
S7C8967	Phage	0.92
S7C9061	Phage	0.62
S7C9117	Phage	0.66
S7C9120	Phage	0.7
S7C9143	Phage	0.6
S7C9159	Phage	0.51
S7C9170	Bacteria	0.35
S7C9184	Bacteria	0.1
S7C9200	Phage	0.93
S7C9253	Bacteria	0.29
S7C9302	Phage	0.94
S7C9325	Phage	0.69
S7C9344	Bacteria	0.41
S7C9346	Phage	0.5
S7C9386	Phage	0.7
S7C9402	Phage	0.71
S7C9437	Phage	0.6
S7C9442	Phage	0.55
S7C9454	Phage	0.65
S7C9458	Phage	0.64
S7C9473	Phage	0.58
S7C9474	Phage	0.56
S7C9476	Phage	0.7
S7C9478	Phage	0.58
S7C9603	Bacteria	0.27
S7C9648	Bacteria	0.43
S7C9683	Phage	0.55
S7C9690	Phage	0.54
S7C9706	Phage	0.5
S7C9721	Phage	0.69
S7C9738	Bacteria	0.4
S7C9739	Bacteria	0.42
S7C9763	Bacteria	0.35
S7C9778	Phage	0.8
S7C9805	Bacteria	0.38
S7C9840	Bacteria	0.32
S7C9911	Bacteria	0.43
S7C9916	Phage	0.59
S7C9938	Phage	0.56
S7C10010	Bacteria	0.49
S7C10036	Bacteria	0.35
S7C10046	Phage	0.7
S7C10067	Phage	0.58
S7C10096	Phage	0.95
S7C10100	Phage	0.67
S7C10104	Phage	0.95
S7C10122	Phage	0.52
S7C10146	Bacteria	0.46
S7C10167	Phage	0.51
S7C10195	Phage	0.77
S7C10230	Bacteria	0.39
S7C10238	Phage	0.5
S7C10254	Phage	0.63
S7C10270	Phage	0.74
S7C10324	Bacteria	0.41
S7C10375	Phage	0.64
S7C10403	Phage	0.72
S7C10486	Phage	0.69
S7C10497	Bacteria	0.49
S7C10508	Bacteria	0.48
S7C10534	Phage	0.97
S7C10570	Phage	0.52
S7C10575	Phage	0.71
S7C10589	Bacteria	0.45
S7C10614	Phage	0.71
S7C10621	Phage	0.54
S7C10639	Bacteria	0.4
S7C10650	Bacteria	0.46
S7C10681	Bacteria	0.17
S7C10740	Phage	0.77
S7C10741	Phage	0.6
S7C10764	Phage	0.8
S7C10766	Bacteria	0.43
S7C10771	Bacteria	0.42
S7C10777	Phage	0.58
S7C10809	Bacteria	0.25
S7C10810	Phage	0.69
S7C10842	Phage	0.68
S7C10844	Bacteria	0.42
S7C10859	Bacteria	0.46
S7C10889	Phage	0.84
S7C10930	Phage	0.63
S7C10977	Phage	0.66
S7C10979	Bacteria	0.47
S7C11029	Phage	0.54
S7C11037	Phage	0.76
S7C11054	Phage	0.52
S7C11061	Phage	0.64
S7C11069	Bacteria	0.47
S7C11075	Phage	0.55
S7C11078	Bacteria	0.43
S7C11088	Bacteria	0.41
S7C11110	Bacteria	0.46
S7C11141	Bacteria	0.28
S7C11146	Phage	0.51
S7C11153	Phage	0.55
S7C11210	Phage	0.57
S7C11226	Phage	0.56
S7C11278	Phage	0.77
S7C11335	Phage	0.71
S7C11345	Phage	0.96
S7C11354	Bacteria	0.46
S7C11374	Bacteria	0.34
S7C11379	Phage	0.54
S7C11390	Bacteria	0.43
S7C11446	Bacteria	0.23
S7C11470	Phage	0.55
S7C11475	Phage	0.9
S7C11499	Phage	0.95
S7C11522	Phage	0.73
S7C11574	Phage	0.77
S7C11617	Phage	0.56
S7C11630	Phage	0.58
S7C11637	Bacteria	0.46
S7C11638	Bacteria	0.48
S7C11651	Phage	0.61
S7C11657	Phage	0.97
S7C11661	Bacteria	0.43
S7C11694	Phage	0.67
S7C11701	Phage	0.98
S7C11704	Phage	0.82
S7C11769	Bacteria	0.37
S7C11786	Bacteria	0.43
S7C11791	Bacteria	0.3
S7C11813	Phage	0.59
S7C11822	Phage	0.56
S7C11839	Bacteria	0.18
S7C11865	Phage	0.59
S7C11938	Phage	0.92
S7C11970	Phage	0.6
S7C11995	Bacteria	0.37
S7C11996	Bacteria	0.43
S7C12033	Phage	0.54
S7C12087	Phage	0.55
S7C12095	Phage	0.56
S7C12114	Bacteria	0.44
S7C12151	Phage	0.64
S7C12199	Phage	0.94
S7C12200	Phage	0.93
S7C12299	Bacteria	0.37
S7C12342	Bacteria	0.46
S7C12379	Bacteria	0.24
S7C12389	Bacteria	0.44
S7C12447	Phage	0.82
S7C12463	Bacteria	0.44
S7C12498	Phage	0.52
S7C12506	Bacteria	0.39
S7C12543	Bacteria	0.48
S7C12557	Bacteria	0.45
S7C12604	Phage	0.53
S7C12633	Phage	0.56
S7C12659	Phage	0.54
S7C12669	Phage	0.95
S7C12699	Phage	0.57
S7C12712	Bacteria	0.49
S7C12733	Bacteria	0.5
S7C12783	Bacteria	0.44
S7C12840	Phage	0.59
S7C12858	Phage	0.95
S7C12871	Phage	0.69
S7C12890	Phage	0.7
S7C12910	Phage	0.92
S7C12912	Phage	0.73
S7C12921	Phage	0.94
S7C12986	Bacteria	0.23
S7C12999	Phage	0.56
S7C13028	Bacteria	0.05
S7C13039	Phage	0.6
S7C13058	Phage	0.68
S7C13098	Phage	0.67
S7C13104	Phage	0.58
S7C13171	Bacteria	0.43
S7C13193	Phage	0.56
S7C13194	Bacteria	0.47
S7C13238	Phage	0.78
S7C13246	Phage	0.88
S7C13256	Phage	0.54
S7C13291	Phage	0.59
S7C13310	Phage	0.93
S7C13349	Phage	0.51
S7C13355	Phage	0.62
S7C13385	Phage	0.57
S7C13397	Bacteria	0.32
S7C13518	Phage	0.65
S7C13571	Phage	0.68
S7C13613	Phage	0.54
S7C13614	Bacteria	0.22
S7C13615	Bacteria	0.45
S7C13634	Phage	0.55
S7C13669	Phage	0.53
S7C13680	Phage	0.81
S7C13682	Phage	0.74
S7C13728	Phage	0.59
S7C13737	Bacteria	0.24
S7C13748	Phage	0.94
S7C13757	Phage	0.61
S7C13778	Phage	0.75
S7C13811	Phage	0.87
S7C13818	Bacteria	0.48
S7C13833	Phage	0.52
S7C13864	Phage	0.91
S7C13876	Phage	0.67
S7C13909	Phage	0.54
S7C13918	Bacteria	0.37
S7C13924	Phage	0.98
S7C13930	Phage	0.59
S7C13936	Phage	0.92
S7C13960	Phage	0.95
S7C14002	Phage	0.79
S7C14016	Phage	0.82
S7C14026	Phage	0.72
S7C14036	Phage	0.84
S7C14137	Phage	0.68
S7C14139	Phage	0.56
S7C14140	Phage	0.99
S7C14159	Phage	0.89
S7C14162	Phage	0.82
S7C14163	Phage	0.73
S7C14177	Phage	0.92
S7C14214	Phage	0.89
S7C14242	Phage	0.92
S7C14283	Bacteria	0.3
S7C14288	Phage	0.5
S7C14304	Phage	0.56
S7C14332	Bacteria	0.39
S7C14362	Phage	0.76
S7C14369	Bacteria	0.4
S7C14381	Phage	0.86
S7C14445	Phage	0.94
S7C14451	Bacteria	0.4
S7C14475	Phage	0.75
S7C14612	Bacteria	0.32
S7C14619	Phage	0.84
S7C14637	Phage	0.88
S7C14665	Phage	0.93
S7C14683	Bacteria	0.35
S7C14696	Phage	0.55
S7C14706	Phage	0.68
S7C14771	Bacteria	0.36
S7C14809	Phage	0.93
S7C14817	Bacteria	0.49
S7C14841	Phage	0.95
S7C14847	Bacteria	0.5
S7C14863	Bacteria	0.45
S7C14870	Phage	0.88
S7C14887	Phage	0.93
S7C14891	Phage	0.62
S7C14902	Phage	0.92
S7C14923	Phage	0.69
S7C14964	Bacteria	0.36
S7C14976	Phage	0.68
S7C14993	Phage	0.53
S7C14995	Phage	0.93
S7C15001	Phage	0.94
S7C15002	Bacteria	0.44
S7C15020	Phage	0.71
S7C15041	Phage	0.6
S7C15059	Bacteria	0.41
S7C15065	Phage	0.54
S7C15104	Phage	0.6
S7C15108	Bacteria	0.48
S7C15110	Phage	0.55
S7C15116	Bacteria	0.35
S7C15131	Bacteria	0.44
S7C15159	Phage	0.63
S7C15168	Bacteria	0.42
S7C15178	Bacteria	0.12
S7C15185	Phage	0.67
S7C15250	Phage	0.54
S7C15271	Bacteria	0.48
S7C15299	Phage	0.69
S7C15310	Phage	0.59
S7C15321	Phage	0.95
S7C15324	Phage	0.57
S7C15357	Phage	0.62
S7C15367	Phage	0.71
S7C15375	Phage	0.72
S7C15425	Phage	0.62
S7C15495	Phage	0.9
S7C15520	Phage	0.92
S7C15527	Phage	0.53
S7C15543	Bacteria	0.33
S7C15587	Phage	0.55
S7C15591	Bacteria	0.42
S7C15595	Bacteria	0.41
S7C15722	Phage	0.6
S7C15735	Phage	0.77
S7C15751	Phage	0.77
S7C15779	Phage	0.92
S7C15798	Phage	0.93
S7C15804	Phage	0.72
S7C15927	Bacteria	0.08
S7C16007	Phage	0.67
S7C16015	Bacteria	0.46
S7C16064	Phage	0.98
S7C16094	Phage	0.61
S7C16101	Bacteria	0.36
S7C16105	Phage	0.8
S7C16118	Bacteria	0.41
S7C16129	Phage	0.59
S7C16167	Phage	0.52
S7C16174	Phage	0.53
S7C16185	Phage	0.69
S7C16200	Bacteria	0.23
S7C16203	Bacteria	0.42
S7C16205	Bacteria	0.39
S7C16252	Phage	0.64
S7C16279	Bacteria	0.42
S7C16288	Phage	0.65
S7C16302	Phage	0.58
S7C16319	Phage	0.58
S7C16336	Phage	0.54
S7C16361	Phage	0.88
S7C16394	Bacteria	0.46
S7C16400	Bacteria	0.44
S7C16402	Bacteria	0.32
S7C16405	Phage	0.96
S7C16417	Phage	0.74
S7C16428	Phage	0.65
S7C16429	Phage	0.74
S7C16465	Phage	0.5
S7C16490	Phage	0.55
S7C16675	Phage	0.78
S7C16678	Phage	0.6
S7C16684	Phage	0.9
S7C16769	Phage	0.94
S7C16772	Bacteria	0.43
S7C16785	Phage	0.54
S7C16790	Phage	0.76
S7C16808	Phage	0.91
S7C16852	Phage	0.92
S7C16860	Phage	0.61
S7C16911	Phage	0.54
S7C16916	Phage	0.86
S7C16958	Phage	0.55
S7C16984	Phage	0.51
S7C17001	Phage	0.66
S7C17025	Bacteria	0.43
S7C17119	Bacteria	0.48
S7C17120	Phage	0.9
S7C17168	Phage	0.55
S7C17186	Bacteria	0.38
S7C17214	Phage	0.71
S7C17232	Phage	0.68
S7C17243	Bacteria	0.18
S7C17285	Phage	0.97
S7C17319	Phage	0.94
S7C17404	Phage	0.73
S7C17440	Phage	0.9
S7C17453	Bacteria	0.49
S7C17459	Bacteria	0.2
S7C17470	Phage	0.96
S7C17487	Phage	0.57
S7C17501	Phage	0.57
S7C17509	Phage	0.71
S7C17555	Phage	0.64
S7C17556	Bacteria	0.36
S7C17563	Phage	0.71
S7C17568	Phage	0.75
S7C17571	Phage	0.92
S7C17602	Bacteria	0.39
S7C17603	Phage	0.63
S7C17681	Phage	0.53
S7C17688	Phage	0.72
S7C17711	Phage	0.61
S7C17750	Phage	0.9
S7C17784	Phage	0.92
S7C17800	Bacteria	0.33
S7C17801	Phage	0.66
S7C17806	Phage	0.88
S7C17833	Phage	0.52
S7C17840	Phage	0.53
S7C17849	Bacteria	0.38
S7C17853	Phage	0.95
S7C17884	Phage	0.9
S7C17891	Phage	0.63
S7C17896	Phage	0.55
S7C17913	Bacteria	0.26
S7C17959	Phage	0.51
S7C18007	Phage	0.68
S7C18016	Phage	0.71
S7C18075	Bacteria	0.35
S7C18079	Bacteria	0.48
S7C18087	Phage	0.96
S7C18089	Bacteria	0.38
S7C18103	Phage	0.53
S7C18131	Phage	0.51
S7C18162	Phage	0.51
S7C18169	Phage	0.76
S7C18183	Bacteria	0.38
S7C18203	Phage	0.71
S7C18241	Phage	0.7
S7C18244	Phage	0.94
S7C18245	Phage	0.5
S7C18279	Phage	0.57
S7C18288	Phage	0.91
S7C18318	Phage	0.64
S7C18351	Bacteria	0.47
S7C18383	Phage	0.5
S7C18394	Phage	0.92
S7C18440	Bacteria	0.48
S7C18460	Bacteria	0.43
S7C18482	Phage	0.58
S7C18494	Bacteria	0.48
S7C18503	Phage	0.93
S7C18687	Phage	0.9
S7C18760	Phage	0.62
S7C18783	Phage	0.65
S7C18805	Phage	0.55
S7C18816	Phage	0.63
S7C18859	Bacteria	0.36
S7C18872	Phage	0.6
S7C18882	Phage	0.9
S7C18891	Phage	0.63
S7C18945	Phage	0.94
S7C18975	Phage	0.97
S7C19023	Phage	0.56
S7C19025	Phage	0.93
S7C19041	Phage	0.73
S7C19070	Bacteria	0.45
S7C19105	Bacteria	0.44
S7C19128	Bacteria	0.5
S7C19135	Phage	0.57
S7C19175	Phage	0.78
S7C19185	Phage	0.54
S7C19406	Phage	0.76
S7C19467	Phage	0.68
S7C19484	Phage	0.63
S7C19491	Phage	0.58
S7C19493	Bacteria	0.44
S7C19497	Bacteria	0.41
S7C19541	Phage	0.78
S7C19563	Bacteria	0.39
S7C19575	Phage	0.94
S7C19605	Phage	0.66
S7C19629	Phage	0.77
S7C19636	Phage	0.92
S7C19701	Phage	0.55
S7C19705	Bacteria	0.49
S7C19739	Bacteria	0.5
S7C19761	Bacteria	0.27
S7C19781	Phage	0.54
S7C19796	Phage	0.71
S7C19847	Phage	0.55
S7C19863	Phage	0.55
S7C19879	Phage	0.73
S7C19904	Phage	0.63
S7C19967	Phage	0.51
S7C20021	Bacteria	0.44
S7C20031	Phage	0.96
S7C20077	Bacteria	0.35
S7C20079	Phage	0.63
S7C20116	Phage	0.8
S7C20126	Bacteria	0.42
S7C20195	Phage	0.56
S7C20226	Phage	0.68
S7C20250	Phage	0.89
S7C20318	Phage	0.99
S7C20334	Phage	0.55
S7C20373	Bacteria	0.49
S7C20388	Phage	0.97
S7C20394	Phage	0.78
S7C20398	Phage	0.73
S7C20399	Bacteria	0.43
S7C20416	Phage	0.71
S7C20443	Phage	0.58
S7C20486	Phage	0.95
S7C20595	Bacteria	0.49
S7C20604	Bacteria	0.36
S7C20614	Bacteria	0.34
S7C20659	Phage	0.71
S7C20666	Phage	0.54
S7C20668	Phage	0.65
S7C20674	Bacteria	0.46
S7C20759	Phage	0.59
S7C20814	Phage	0.51
S7C20817	Bacteria	0.41
S7C20818	Phage	0.56
S7C20871	Phage	0.61
S7C20876	Phage	0.89
S7C20888	Phage	0.53
S7C20891	Phage	0.64
S7C20901	Bacteria	0.42
S7C20965	Phage	0.5
S7C20997	Bacteria	0.44
S7C21023	Phage	0.62
S7C21039	Phage	0.53
S7C21041	Bacteria	0.48
S7C21087	Bacteria	0.37
S7C21103	Phage	0.78
S7C21112	Bacteria	0.45
S7C21136	Bacteria	0.41
S7C21146	Bacteria	0.46
S7C21166	Phage	0.9
S7C21212	Bacteria	0.42
S7C21216	Bacteria	0.45
S7C21234	Bacteria	0.5
S7C21307	Phage	0.91
S7C21342	Phage	0.65
S7C21363	Phage	0.6
S7C21389	Phage	0.77
S7C21391	Bacteria	0.29
S7C21393	Bacteria	0.45
S7C21402	Phage	0.6
S7C21425	Phage	0.53
S7C21441	Bacteria	0.48
S7C21452	Phage	0.97
S7C21462	Phage	0.52
S7C21484	Phage	0.81
S7C21552	Phage	0.71
S7C21660	Phage	0.57
S7C21668	Phage	0.66
S7C21715	Bacteria	0.37
S7C21724	Bacteria	0.22
S7C21817	Phage	0.72
S7C21818	Bacteria	0.36
S7C21864	Phage	0.54
S7C21904	Bacteria	0.45
S7C21905	Bacteria	0.41
S7C21908	Phage	0.53
S7C21922	Phage	0.97
S7C21961	Bacteria	0.45
S7C22001	Phage	0.97
S7C22010	Bacteria	0.33
S7C22026	Phage	0.59
S7C22042	Phage	0.51
S7C22084	Phage	0.51
S7C22090	Bacteria	0.36
S7C22113	Bacteria	0.35
S7C22143	Bacteria	0.29
S7C22154	Bacteria	0.5
S7C22228	Phage	0.56
S7C22234	Bacteria	0.3
S7C22281	Phage	0.56
S7C22296	Phage	0.92
S7C22300	Phage	0.75
S7C22338	Bacteria	0.36
S7C22353	Bacteria	0.45
S7C22371	Phage	0.77
S7C22410	Bacteria	0.47
S7C22417	Phage	0.57
S7C22426	Phage	0.52
S7C22440	Phage	0.74
S7C22475	Bacteria	0.36
S7C22514	Phage	0.58
S7C22520	Phage	0.51
S7C22537	Bacteria	0.09
S7C22577	Bacteria	0.48
S7C22587	Bacteria	0.31
S7C22589	Phage	0.86
S7C22668	Phage	0.66
S7C22673	Phage	0.57
S7C22735	Phage	0.53
S7C22775	Phage	0.99
S7C22776	Phage	0.68
S7C22859	Phage	0.59
S7C22866	Phage	0.67
S7C22881	Bacteria	0.3
S7C22885	Phage	0.66
S7C22937	Phage	0.54
S7C22942	Phage	0.84
S7C23024	Phage	0.57
S7C23058	Phage	0.88
S7C23072	Phage	0.92
S7C23075	Phage	0.56
S7C23115	Phage	0.92
S7C23123	Phage	0.64
S7C23141	Bacteria	0.47
S7C23162	Bacteria	0.49
S7C23172	Bacteria	0.22
S7C23175	Phage	0.89
S7C23179	Bacteria	0.41
S7C23181	Bacteria	0.44
S7C23208	Phage	0.62
S7C23277	Phage	0.87
S7C23282	Phage	0.51
S7C23314	Phage	0.96
S7C23324	Phage	0.94
S7C23325	Phage	0.71
S7C23327	Bacteria	0.41
S7C23374	Phage	0.94
S7C23441	Bacteria	0.43
S7C23456	Phage	0.62
S7C23484	Bacteria	0.31
S7C23489	Bacteria	0.48
S7C23497	Bacteria	0.29
S7C23509	Phage	0.64
S7C23519	Phage	0.96
S7C23555	Bacteria	0.37
S7C23603	Phage	0.67
S7C23621	Phage	0.88
S7C23642	Phage	0.88
S7C23683	Phage	0.59
S7C23688	Phage	0.59
S7C23710	Phage	0.57
S7C23725	Phage	0.73
S7C23731	Bacteria	0.39
S7C23750	Phage	0.83
S7C23774	Phage	0.63
S7C23849	Bacteria	0.49
S7C23852	Phage	0.93
S7C23861	Phage	0.55
S7C23891	Bacteria	0.46
S7C23946	Bacteria	0.27
S7C24085	Phage	0.55
S7C24094	Bacteria	0.48
S7C24122	Phage	0.53
S7C24133	Phage	0.59
S7C24205	Phage	0.65
S7C24216	Phage	0.74
S7C24218	Phage	0.8
S7C24220	Phage	0.55
S7C24229	Phage	0.53
S7C24237	Phage	0.6
S7C24287	Phage	0.64
S7C24312	Phage	0.55
S7C24334	Bacteria	0.46
S7C24341	Bacteria	0.41
S7C24455	Phage	0.74
S7C24482	Bacteria	0.43
S7C24485	Bacteria	0.42
S7C24520	Phage	0.69
S7C24565	Bacteria	0.4
S7C24574	Bacteria	0.44
S7C24597	Bacteria	0.35
S7C24612	Phage	0.94
S7C24630	Bacteria	0.39
S7C24637	Bacteria	0.3
S7C24661	Bacteria	0.29
S7C24662	Phage	0.72
S7C24734	Bacteria	0.49
S7C24808	Phage	0.6
S7C24847	Bacteria	0.45
S7C24856	Bacteria	0.49
S7C24891	Phage	0.55
S7C24939	Bacteria	0.4
S7C24944	Bacteria	0.42
S7C24993	Bacteria	0.4
S7C25043	Bacteria	0.29
S7C25048	Bacteria	0.32
S7C25136	Bacteria	0.49
S7C25139	Bacteria	0.48
S7C25177	Phage	0.71
S7C25178	Bacteria	0.43
S7C25197	Phage	0.94
S7C25233	Phage	0.58
S7C25286	Bacteria	0.45
S7C25329	Phage	0.73
S7C25363	Phage	0.68
S7C25386	Phage	0.9
S7C25387	Phage	0.75
S7C25391	Phage	0.95
S7C25417	Phage	0.6
S7C25420	Phage	0.61
S7C25431	Phage	0.55
S7C25433	Phage	0.97
S7C25465	Phage	0.93
S7C25469	Phage	0.56
S7C25479	Bacteria	0.21
S7C25539	Phage	0.89
S7C25550	Phage	0.57
S7C25574	Phage	0.55
S7C25576	Phage	0.7
S7C25627	Phage	0.74
S7C25630	Bacteria	0.5
S7C25762	Bacteria	0.47
S7C25830	Phage	0.97
S7C25886	Bacteria	0.4
S7C25918	Bacteria	0.41
S7C25937	Bacteria	0.5
S7C25941	Phage	0.55
S7C25956	Bacteria	0.12
S7C25958	Phage	0.67
S7C25964	Phage	0.75
S7C26001	Phage	0.93
S7C26006	Bacteria	0.42
S7C26029	Phage	0.52
S7C26059	Phage	0.56
S7C26101	Phage	0.55
S7C26127	Phage	0.59
S7C26133	Bacteria	0.4
S7C26158	Bacteria	0.25
S7C26159	Bacteria	0.38
S7C26197	Phage	0.51
S7C26300	Bacteria	0.45
S7C26325	Phage	0.99
S7C26370	Phage	0.85
S7C26391	Phage	0.59
S7C26411	Phage	0.93
S7C26416	Bacteria	0.3
S7C26490	Bacteria	0.44
S7C26513	Phage	0.84
S7C26528	Phage	0.9
S7C26577	Phage	0.73
S7C26601	Phage	0.54
S7C26615	Bacteria	0.49
S7C26683	Bacteria	0.42
S7C26704	Bacteria	0.27
S7C26716	Phage	0.62
S7C26727	Phage	0.59
S7C26730	Bacteria	0.4
S7C26750	Bacteria	0.29
S7C26751	Phage	0.79
S7C26781	Bacteria	0.35
S7C26804	Phage	0.65
S7C26855	Phage	0.87
S7C26862	Phage	0.7
S7C26878	Phage	0.55
S7C26918	Phage	0.64
S7C26935	Bacteria	0.49
S7C26949	Phage	0.59
S7C26982	Bacteria	0.45
S7C27047	Bacteria	0.47
S7C27080	Phage	0.68
S7C27103	Bacteria	0.49
S7C27130	Phage	0.72
S7C27177	Bacteria	0.43
S7C27185	Phage	0.61
S7C27194	Phage	0.71
S7C27198	Bacteria	0.47
S7C27235	Bacteria	0.39
S7C27312	Bacteria	0.31
S7C27319	Bacteria	0.46
S7C27344	Bacteria	0.45
S7C27347	Bacteria	0.48
S7C27348	Bacteria	0.34
S7C27351	Phage	0.56
S7C27396	Bacteria	0.43
S7C27416	Phage	0.56
S7C27426	Phage	0.54
S7C27457	Phage	0.91
S7C27468	Phage	0.55
S7C27487	Phage	0.94
S7C27489	Phage	0.58
S7C27494	Bacteria	0.37
S7C27524	Bacteria	0.33
S7C27525	Phage	0.71
S7C27538	Phage	0.58
S7C27569	Bacteria	0.34
S7C27730	Phage	0.72
S7C27739	Bacteria	0.44
S7C27746	Phage	0.95
S7C27775	Bacteria	0.38
S7C27785	Phage	0.52
S7C27831	Phage	0.5
S7C27887	Phage	0.57
S7C27929	Bacteria	0.39
S7C27944	Bacteria	0.38
S7C27950	Bacteria	0.49
S7C28007	Bacteria	0.49
S7C28117	Phage	0.62
S7C28129	Bacteria	0.5
S7C28145	Bacteria	0.42
S7C28168	Phage	0.71
S7C28187	Phage	0.71
S7C28197	Phage	0.52
S7C28212	Bacteria	0.35
S7C28227	Phage	0.53
S7C28232	Phage	0.82
S7C28344	Phage	0.57
S7C28345	Phage	0.73
S7C28354	Phage	0.58
S7C28393	Phage	0.82
S7C28422	Phage	0.93
S7C28430	Phage	0.61
S7C28461	Bacteria	0.34
S7C28462	Phage	0.64
S7C28501	Phage	0.53
S7C28511	Bacteria	0.4
S7C28575	Bacteria	0.43
S7C28598	Phage	0.55
S7C28620	Phage	0.55
S7C28633	Phage	0.87
S7C28658	Phage	0.94
S7C28663	Phage	0.9
S7C28677	Phage	0.58
S7C28697	Bacteria	0.16
S7C28724	Phage	0.53
S7C28739	Bacteria	0.42
S7C28783	Bacteria	0.41
S7C28786	Bacteria	0.44
S7C28804	Phage	0.55
S7C28833	Phage	0.57
S7C28843	Phage	0.96
S7C28863	Phage	0.59
S7C28891	Bacteria	0.42
S7C28901	Phage	0.59
S7C28909	Phage	0.65
S7C28910	Phage	0.54
S7C28915	Phage	0.67
S7C28925	Bacteria	0.34
S7C28936	Phage	0.63
S7C28967	Bacteria	0.32
S7C28970	Phage	0.74
S7C29010	Phage	0.65
S7C29011	Phage	0.53
S7C29016	Bacteria	0.4
S7C29019	Phage	0.62
S7C29022	Phage	0.52
S7C29024	Phage	0.53
S7C29040	Phage	0.62
S7C29051	Bacteria	0.49
S7C29077	Bacteria	0.44
S7C29136	Bacteria	0.46
S7C29138	Bacteria	0.47
S7C29165	Phage	0.74
S7C29217	Phage	0.8
S7C29221	Bacteria	0.38
S7C29234	Phage	0.9
S7C29267	Phage	0.69
S7C29269	Phage	0.95
S7C29379	Phage	0.92
S7C29380	Phage	0.74
S7C29427	Bacteria	0.32
S7C29456	Phage	0.69
S7C29479	Bacteria	0.48
S7C29516	Phage	0.66
S7C29535	Phage	0.91
S7C29537	Phage	0.71
S7C29549	Phage	0.95
S7C29557	Phage	0.92
S7C29582	Phage	0.56
S7C29596	Phage	0.54
S7C29686	Phage	0.88
S7C29713	Bacteria	0.47
S7C29784	Phage	0.57
S7C29801	Phage	0.65
S7C29812	Phage	0.62
S7C29818	Phage	0.56
S7C29825	Bacteria	0.21
S7C29856	Bacteria	0.39
S7C29925	Phage	0.59
S7C29941	Phage	0.62
S7C29958	Phage	0.66
S7C29964	Bacteria	0.43
S7C30027	Phage	0.53
S7C30079	Bacteria	0.48
S7C30095	Phage	0.6
S7C30149	Phage	0.51
S7C30158	Bacteria	0.49
S7C30172	Bacteria	0.45
S7C30198	Bacteria	0.27
S7C30209	Bacteria	0.42
S7C30214	Phage	0.61
